,pol_filtered,pol
1041,11423.2,7508.78
1042,11521.14,4002.391
1043,6247.695,7733.345
1044,3042.285,5242.393
1045,3536.784,11245.73
1046,4643.428,3893.285
1047,2005.392,2590.584
1048,2916.889,4282.895
1049,10489.13,4280.478
1050,2454.085,5911.315
1051,5117.868,4136.959
1052,4621.62,6305.489
1053,3679.694,3573.246
1054,8396.927,1750.334
1055,3939.106,1811.725
1056,12585.58,12585.58
1057,8741.973,10062.75
1058,3283.374,2842.279
1059,4980.373,4130.715
1060,4096.34,3811.806
1061,5768.974,2979.141
1062,2069.788,7101.177
1063,3166.476,5527.679
1064,5155.855,4818.257
1065,3442.237,2904.572
1066,10567.35,3277.339
1067,9897.2,12585.58
1068,3725.953,6822.337
1069,5752.093,2669.697
1070,5153.406,3801.572
1071,4173.548,12585.58
1072,3127.163,8334.859
1073,2781.496,3279.275
1074,4214.842,3214.428
1075,2416.337,4844.306
1076,5472.552,5244.324
1077,5820.656,3079.409
1078,8021.11,3460.872
1079,4107.566,6160.723
1080,8566.326,3662.193
1081,4215.567,4057.089
1082,5205.501,9318.418
1083,7214.45,4263.568
1084,3637.578,5834.164
1085,3380.396,3802.707
1086,6016.595,2027.148
1087,5534.129,6525.681
1088,3315.127,2598.846
1089,2677.479,2003.64
1090,3638.163,3999.382
1091,3365.582,4100.75
1092,3003.99,2302.271
1093,4864.641,12585.58
1094,2957.764,4119.399
1095,3603.968,3911.581
1096,4860.857,8517.421
1097,9090.039,3031.39
1098,3712.713,2298.981
1099,9126.025,24554.76
1100,3182.785,3699.006
1101,7203.512,3677.646
1102,3844.856,8556.417
1103,6923.156,3796.214
1104,5277.824,2571.053
1105,5360.132,2292.222
1106,3107.15,24694.45
1107,8344.252,4036.467
1108,2390.505,4833.519
1109,5043.137,12724.73
1110,6661.186,5935.218
1111,2070.521,1635.416
1112,4217.158,3448.082
1113,4696.955,3599.733
1114,3477.889,4252.354
1115,16493.92,3262.138
1116,20939.24,9612.248
1117,1890.536,3610.509
1118,7300.55,4854.614
1119,2091.505,9619.029
1120,2344.851,3136.731
1121,3604.95,18673.57
1122,4360.105,2167.663
1123,2930.762,6754.01
1124,5601.179,12585.58
1125,2735.761,4620.666
1126,7310.097,8616.907
1127,2837.497,2827.499
1128,3920.457,3770.4
1129,2914.067,6164.029
1130,3973.805,12585.58
1131,2128.827,3960.951
1132,5041.066,7643.975
1133,2730.743,4453.643
1134,3323.484,2720.985
1135,9352.148,4385.707
1136,6893.895,4463.171
1137,2956.232,4275.873
1138,5814.76,7501.884
1139,2596.938,4569.465
1140,12585.58,6260.272
1141,2889.629,5105.488
1142,5111.946,3013.526
1143,45145.53,6930.683
1144,4049.453,8310.833
1145,1766.686,2464.39
1146,2194.713,8776.409
1147,1776.347,5379.229
1148,1763.588,3352.641
